# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences
E51C;1F478 # Softbank
EB1A;1F478 # KDDIa
ECDB;1F478 # KDDIb
FE1AB;1F478 # Google
EB44;1F479 # KDDIa
ED48;1F479 # KDDIb
FE1AC;1F479 # Google
EB45;1F47A # KDDIa
ED49;1F47A # KDDIb
FE1AD;1F47A # Google
E11B;1F47B # Softbank
E4CB;1F47B # KDDIa
EFA4;1F47B # KDDIb
FE1AE;1F47B # Google
E04E;1F47C # Softbank
E5BF;1F47C # KDDIa
F0EF;1F47C # KDDIb
FE1AF;1F47C # Google
E10C;1F47D # Softbank
E50E;1F47D # KDDIa
EFE7;1F47D # KDDIb
FE1B0;1F47D # Google
E12B;1F47E # Softbank
E4EC;1F47E # KDDIa
EFC5;1F47E # KDDIb
FE1B1;1F47E # Google
E11A;1F47F # Softbank
E4EF;1F47F # KDDIa
EFC8;1F47F # KDDIb
FE1B2;1F47F # Google
E11C;1F480 # Softbank
E4F8;1F480 # KDDIa
EFD1;1F480 # KDDIb
FE1B3;1F480 # Google
E253;1F481 # Softbank
FE1B4;1F481 # Google
E51E;1F482 # Softbank
FE1B5;1F482 # Google
E51F;1F483 # Softbank
EB1C;1F483 # KDDIa
ECDD;1F483 # KDDIb
FE1B6;1F483 # Google
E31C;1F484 # Softbank
E509;1F484 # KDDIa
EFE2;1F484 # KDDIb
E710;1F484 # Docomo
FE195;1F484 # Google
E31D;1F485 # Softbank
EAA0;1F485 # KDDIa
EC73;1F485 # KDDIb
FE196;1F485 # Google
E31E;1F486 # Softbank
E50B;1F486 # KDDIa
EFE4;1F486 # KDDIb
FE197;1F486 # Google
E31F;1F487 # Softbank
EAA1;1F487 # KDDIa
EC74;1F487 # KDDIb
FE198;1F487 # Google
E320;1F488 # Softbank
EAA2;1F488 # KDDIa
EC75;1F488 # KDDIb
FE199;1F488 # Google
E13B;1F489 # Softbank
E510;1F489 # KDDIa
EFE9;1F489 # KDDIb
FE509;1F489 # Google
E30F;1F48A # Softbank
EA9A;1F48A # KDDIa
EC6D;1F48A # KDDIb
FE50A;1F48A # Google
E003;1F48B # Softbank
E4EB;1F48B # KDDIa
EFC4;1F48B # KDDIb
E6F9;1F48B # Docomo
FE823;1F48B # Google
EB78;1F48C # KDDIa
ED7C;1F48C # KDDIb
E717;1F48C # Docomo
FE824;1F48C # Google
E034;1F48D # Softbank
E514;1F48D # KDDIa
EFED;1F48D # KDDIb
E71B;1F48D # Docomo
FE825;1F48D # Google
E035;1F48E # Softbank
FE826;1F48E # Google
E111;1F48F # Softbank
E5CA;1F48F # KDDIa
F0FA;1F48F # KDDIb
FE827;1F48F # Google
E306;1F490 # Softbank
EA95;1F490 # KDDIa
EC68;1F490 # KDDIb
FE828;1F490 # Google
E425;1F491 # Softbank
EADA;1F491 # KDDIa
ECAE;1F491 # KDDIb
FE829;1F491 # Google
E43D;1F492 # Softbank
FE82A;1F492 # Google
E327;1F493 # Softbank
EB75;1F493 # KDDIa
ED79;1F493 # KDDIb
E6ED;1F493 # Docomo
FEB0D;1F493 # Google
E023;1F494 # Softbank
E477;1F494 # KDDIa
EF4F;1F494 # KDDIb
E6EE;1F494 # Docomo
FEB0E;1F494 # Google
E478;1F495 # KDDIa
EF50;1F495 # KDDIb
E6EF;1F495 # Docomo
FEB0F;1F495 # Google
EAA6;1F496 # KDDIa
EC79;1F496 # KDDIb
FEB10;1F496 # Google
E328;1F497 # Softbank
FEB11;1F497 # Google
E329;1F498 # Softbank
E4EA;1F498 # KDDIa
EFC3;1F498 # KDDIb
FEB12;1F498 # Google
E32A;1F499 # Softbank
EAA7;1F499 # KDDIa
EC7A;1F499 # KDDIb
FEB13;1F499 # Google
E32B;1F49A # Softbank
EAA8;1F49A # KDDIa
EC7B;1F49A # KDDIb
FEB14;1F49A # Google
E32C;1F49B # Softbank
EAA9;1F49B # KDDIa
EC7C;1F49B # KDDIb
FEB15;1F49B # Google
E32D;1F49C # Softbank
EAAA;1F49C # KDDIa
EC7D;1F49C # KDDIb
FEB16;1F49C # Google
E437;1F49D # Softbank
EB54;1F49D # KDDIa
ED58;1F49D # KDDIb
FEB17;1F49D # Google
E5AF;1F49E # KDDIa
F0CC;1F49E # KDDIb
FEB18;1F49E # Google
E204;1F49F # Softbank
FEB19;1F49F # Google
E6F8;1F4A0 # Docomo
FEB55;1F4A0 # Google
E10F;1F4A1 # Softbank
E476;1F4A1 # KDDIa
EF4E;1F4A1 # KDDIb
E6FB;1F4A1 # Docomo
FEB56;1F4A1 # Google
E334;1F4A2 # Softbank
E4E5;1F4A2 # KDDIa
EFBE;1F4A2 # KDDIb
E6FC;1F4A2 # Docomo
FEB57;1F4A2 # Google
E311;1F4A3 # Softbank
E47A;1F4A3 # KDDIa
EF52;1F4A3 # KDDIb
E6FE;1F4A3 # Docomo
FEB58;1F4A3 # Google
E13C;1F4A4 # Softbank
E475;1F4A4 # KDDIa
EF4D;1F4A4 # KDDIb
E701;1F4A4 # Docomo
FEB59;1F4A4 # Google
E5B0;1F4A5 # KDDIa
F0CD;1F4A5 # KDDIb
E705;1F4A5 # Docomo
FEB5A;1F4A5 # Google
E331;1F4A6 # Softbank
E5B1;1F4A6 # KDDIa
F0CE;1F4A6 # KDDIb
E706;1F4A6 # Docomo
FEB5B;1F4A6 # Google
E4E6;1F4A7 # KDDIa
EFBF;1F4A7 # KDDIb
E707;1F4A7 # Docomo
FEB5C;1F4A7 # Google
E330;1F4A8 # Softbank
E4F4;1F4A8 # KDDIa
EFCD;1F4A8 # KDDIb
E708;1F4A8 # Docomo
FEB5D;1F4A8 # Google
E05A;1F4A9 # Softbank
E4F5;1F4A9 # KDDIa
EFCE;1F4A9 # KDDIb
FE4F4;1F4A9 # Google
E14C;1F4AA # Softbank
E4E9;1F4AA # KDDIa
EFC2;1F4AA # KDDIb
FEB5E;1F4AA # Google
EB5C;1F4AB # KDDIa
ED60;1F4AB # KDDIb
FEB5F;1F4AB # Google
E4FD;1F4AC # KDDIa
EFD6;1F4AC # KDDIb
FE532;1F4AC # Google
E4F0;1F4AE # KDDIa
EFC9;1F4AE # KDDIb
FEB7A;1F4AE # Google
E4F2;1F4AF # KDDIa
EFCB;1F4AF # KDDIb
FEB7B;1F4AF # Google
E12F;1F4B0 # Softbank
E4C7;1F4B0 # KDDIa
EFA0;1F4B0 # KDDIb
E715;1F4B0 # Docomo
FE4DD;1F4B0 # Google
E149;1F4B1 # Softbank
FE4DE;1F4B1 # Google
E579;1F4B2 # KDDIa
F096;1F4B2 # KDDIb
FE4E0;1F4B2 # Google
E57C;1F4B3 # KDDIa
F099;1F4B3 # KDDIb
FE4E1;1F4B3 # Google
E57D;1F4B4 # KDDIa
F09A;1F4B4 # KDDIb
E6D6;1F4B4 # Docomo
FE4E2;1F4B4 # Google
E585;1F4B5 # KDDIa
F0A2;1F4B5 # KDDIb
FE4E3;1F4B5 # Google
EB5B;1F4B8 # KDDIa
ED5F;1F4B8 # KDDIb
FE4E4;1F4B8 # Google
E14A;1F4B9 # Softbank
E5DC;1F4B9 # KDDIa
EC4F;1F4B9 # KDDIb
FE4DF;1F4B9 # Google
E11F;1F4BA # Softbank
E6B2;1F4BA # Docomo
FE537;1F4BA # Google
E00C;1F4BB # Softbank
E5B8;1F4BB # KDDIa
F0E8;1F4BB # KDDIb
E716;1F4BB # Docomo
FE538;1F4BB # Google
E11E;1F4BC # Softbank
E5CE;1F4BC # KDDIa
EC41;1F4BC # KDDIb
FE53B;1F4BC # Google
E316;1F4BD # Softbank
E582;1F4BD # KDDIa
F09F;1F4BD # KDDIb
FE53C;1F4BD # Google
E562;1F4BE # KDDIa
F07E;1F4BE # KDDIb
FE53D;1F4BE # Google
E126;1F4BF # Softbank
E50C;1F4BF # KDDIa
EFE5;1F4BF # KDDIb
E68C;1F4BF # Docomo
FE81D;1F4BF # Google
E127;1F4C0 # Softbank
FE81E;1F4C0 # Google
E58F;1F4C1 # KDDIa
F0AC;1F4C1 # KDDIb
FE543;1F4C1 # Google
E590;1F4C2 # KDDIa
F0AD;1F4C2 # KDDIb
FE544;1F4C2 # Google
E561;1F4C3 # KDDIa
F07D;1F4C3 # KDDIb
FE540;1F4C3 # Google
E569;1F4C4 # KDDIa
F086;1F4C4 # KDDIb
FE541;1F4C4 # Google
E563;1F4C5 # KDDIa
F080;1F4C5 # KDDIb
FE542;1F4C5 # Google
E56A;1F4C6 # KDDIa
F087;1F4C6 # KDDIb
FE549;1F4C6 # Google
E56C;1F4C7 # KDDIa
F089;1F4C7 # KDDIb
FE54D;1F4C7 # Google
E575;1F4C8 # KDDIa
F092;1F4C8 # KDDIb
FE54B;1F4C8 # Google
E576;1F4C9 # KDDIa
F093;1F4C9 # KDDIb
FE54C;1F4C9 # Google
E574;1F4CA # KDDIa
F091;1F4CA # KDDIb
FE54A;1F4CA # Google
E564;1F4CB # KDDIa
F081;1F4CB # KDDIb
FE548;1F4CB # Google
E56D;1F4CC # KDDIa
F08A;1F4CC # KDDIb
FE54E;1F4CC # Google
E560;1F4CD # KDDIa
F07C;1F4CD # KDDIb
FE53F;1F4CD # Google
E4A0;1F4CE # KDDIa
EF78;1F4CE # KDDIb
E730;1F4CE # Docomo
FE53A;1F4CE # Google
E570;1F4CF # KDDIa
F08D;1F4CF # KDDIb
FE550;1F4CF # Google
E4A2;1F4D0 # KDDIa
EF7A;1F4D0 # KDDIb
FE551;1F4D0 # Google
EB0B;1F4D1 # KDDIa
F0E2;1F4D1 # KDDIb
FE552;1F4D1 # Google
E56E;1F4D2 # KDDIa
F08B;1F4D2 # KDDIb
FE54F;1F4D2 # Google
E56B;1F4D3 # KDDIa
F088;1F4D3 # KDDIb
FE545;1F4D3 # Google
E49D;1F4D4 # KDDIa
EF75;1F4D4 # KDDIb
FE547;1F4D4 # Google
E568;1F4D5 # KDDIa
F085;1F4D5 # KDDIb
FE502;1F4D5 # Google
E148;1F4D6 # Softbank
E49F;1F4D6 # KDDIa
EF77;1F4D6 # KDDIb
E683;1F4D6 # Docomo
FE546;1F4D6 # Google
E565;1F4D7 # KDDIa
F082;1F4D7 # KDDIb
FE4FF;1F4D7 # Google
E566;1F4D8 # KDDIa
F083;1F4D8 # KDDIb
FE500;1F4D8 # Google
E567;1F4D9 # KDDIa
F084;1F4D9 # KDDIb
FE501;1F4D9 # Google
E56F;1F4DA # KDDIa
F08C;1F4DA # KDDIb
FE503;1F4DA # Google
E51D;1F4DB # KDDIa
EFF6;1F4DB # KDDIb
FE504;1F4DB # Google
E55F;1F4DC # KDDIa
F07B;1F4DC # KDDIb
FE4FD;1F4DC # Google
E301;1F4DD # Softbank
EA92;1F4DD # KDDIa
EC65;1F4DD # KDDIb
E689;1F4DD # Docomo
FE527;1F4DD # Google
E51E;1F4DE # KDDIa
EFF7;1F4DE # KDDIb
FE524;1F4DE # Google
E59B;1F4DF # KDDIa
F0B8;1F4DF # KDDIb
E65A;1F4DF # Docomo
FE522;1F4DF # Google
E00B;1F4E0 # Softbank
E520;1F4E0 # KDDIa
EFF9;1F4E0 # KDDIb
E6D0;1F4E0 # Docomo
FE528;1F4E0 # Google
E14B;1F4E1 # Softbank
E4A8;1F4E1 # KDDIa
EF81;1F4E1 # KDDIb
FE531;1F4E1 # Google
E142;1F4E2 # Softbank
FE52F;1F4E2 # Google
E317;1F4E3 # Softbank
FE530;1F4E3 # Google
E592;1F4E4 # KDDIa
F0AF;1F4E4 # KDDIb
FE533;1F4E4 # Google
E593;1F4E5 # KDDIa
F0B0;1F4E5 # KDDIb
FE534;1F4E5 # Google
E51F;1F4E6 # KDDIa
EFF8;1F4E6 # KDDIb
FE535;1F4E6 # Google
EB71;1F4E7 # KDDIa
ED75;1F4E7 # KDDIb
FEB92;1F4E7 # Google
E591;1F4E8 # KDDIa
F0AE;1F4E8 # KDDIb
FE52A;1F4E8 # Google
E103;1F4E9 # Softbank
EB62;1F4E9 # KDDIa
ED66;1F4E9 # KDDIb
E6CF;1F4E9 # Docomo
FE52B;1F4E9 # Google
E51B;1F4EA # KDDIa
EFF4;1F4EA # KDDIb
FE52C;1F4EA # Google
E101;1F4EB # Softbank
EB0A;1F4EB # KDDIa
F0E1;1F4EB # KDDIb
FE52D;1F4EB # Google
E102;1F4EE # Softbank
FE52E;1F4EE # Google
E58B;1F4F0 # KDDIa
F0A8;1F4F0 # KDDIb
FE822;1F4F0 # Google
E00A;1F4F1 # Softbank
E588;1F4F1 # KDDIa
F0A5;1F4F1 # KDDIb
E688;1F4F1 # Docomo
FE525;1F4F1 # Google
E104;1F4F2 # Softbank
EB08;1F4F2 # KDDIa
F0DF;1F4F2 # KDDIb
E6CE;1F4F2 # Docomo
FE526;1F4F2 # Google
E250;1F4F3 # Softbank
EA90;1F4F3 # KDDIa
EC63;1F4F3 # KDDIb
FE839;1F4F3 # Google
E251;1F4F4 # Softbank
EA91;1F4F4 # KDDIa
EC64;1F4F4 # KDDIb
FE83A;1F4F4 # Google
E20B;1F4F6 # Softbank
EA84;1F4F6 # KDDIa
EC57;1F4F6 # KDDIb
FE838;1F4F6 # Google
E008;1F4F7 # Softbank
E515;1F4F7 # KDDIa
EFEE;1F4F7 # KDDIb
E681;1F4F7 # Docomo
FE4EF;1F4F7 # Google
E57E;1F4F9 # KDDIa
F09B;1F4F9 # KDDIb
FE4F9;1F4F9 # Google
E12A;1F4FA # Softbank
E502;1F4FA # KDDIa
EFDB;1F4FA # KDDIb
E68A;1F4FA # Docomo
FE81C;1F4FA # Google
E128;1F4FB # Softbank
E5B9;1F4FB # KDDIa
F0E9;1F4FB # KDDIb
FE81F;1F4FB # Google
E129;1F4FC # Softbank
E580;1F4FC # KDDIa
F09D;1F4FC # KDDIb
FE820;1F4FC # Google
EB0D;1F503 # KDDIa
F0E4;1F503 # KDDIb
FEB91;1F503 # Google
E141;1F50A # Softbank
E511;1F50A # KDDIa
EFEA;1F50A # KDDIb
FE821;1F50A # Google
E584;1F50B # KDDIa
F0A1;1F50B # KDDIb
FE4FC;1F50B # Google
E589;1F50C # KDDIa
F0A6;1F50C # KDDIb
FE4FE;1F50C # Google
E114;1F50D # Softbank
E518;1F50D # KDDIa
EFF1;1F50D # KDDIb
E6DC;1F50D # Docomo
FEB85;1F50D # Google
EB05;1F50E # KDDIa
F0DC;1F50E # KDDIb
FEB8D;1F50E # Google
EB0C;1F50F # KDDIa
F0E3;1F50F # KDDIb
FEB90;1F50F # Google
EAFC;1F510 # KDDIa
F0D3;1F510 # KDDIb
FEB8A;1F510 # Google
E03F;1F511 # Softbank
E519;1F511 # KDDIa
EFF2;1F511 # KDDIb
E6D9;1F511 # Docomo
FEB82;1F511 # Google
E144;1F512 # Softbank
E51C;1F512 # KDDIa
EFF5;1F512 # KDDIb
FEB86;1F512 # Google
E145;1F513 # Softbank
FEB87;1F513 # Google
E325;1F514 # Softbank
E512;1F514 # KDDIa
EFEB;1F514 # KDDIb
E713;1F514 # Docomo
FE4F2;1F514 # Google
EB07;1F516 # KDDIa
F0DE;1F516 # KDDIb
FEB8F;1F516 # Google
E58A;1F517 # KDDIa
F0A7;1F517 # KDDIb
FEB4B;1F517 # Google
EB04;1F518 # KDDIa
F0DB;1F518 # KDDIb
FEB8C;1F518 # Google
EB06;1F519 # KDDIa
F0DD;1F519 # KDDIb
FEB8E;1F519 # Google
E6B9;1F51A # Docomo
FE01A;1F51A # Google
E6B8;1F51B # Docomo
FE019;1F51B # Google
E6B7;1F51C # Docomo
FE018;1F51C # Google
E24C;1F51D # Softbank
FEB42;1F51D # Google
E207;1F51E # Softbank
EA83;1F51E # KDDIa
EC56;1F51E # KDDIb
FEB25;1F51E # Google
E52B;1F51F # KDDIa
F047;1F51F # KDDIb
FE83B;1F51F # Google
EAFD;1F520 # KDDIa
F0D4;1F520 # KDDIb
FEB7C;1F520 # Google
EAFE;1F521 # KDDIa
F0D5;1F521 # KDDIb
FEB7D;1F521 # Google
EAFF;1F522 # KDDIa
F0D6;1F522 # KDDIb
FEB7E;1F522 # Google
EB00;1F523 # KDDIa
F0D7;1F523 # KDDIb
FEB7F;1F523 # Google
EB55;1F524 # KDDIa
ED59;1F524 # KDDIb
FEB80;1F524 # Google
E11D;1F525 # Softbank
E47B;1F525 # KDDIa
EF53;1F525 # KDDIb
FE4F6;1F525 # Google
E583;1F526 # KDDIa
F0A0;1F526 # KDDIb
FE4FB;1F526 # Google
E587;1F527 # KDDIa
F0A4;1F527 # KDDIb
E718;1F527 # Docomo
FE4C9;1F527 # Google
E116;1F528 # Softbank
E5CB;1F528 # KDDIa
F0FB;1F528 # KDDIb
FE4CA;1F528 # Google
E581;1F529 # KDDIa
F09E;1F529 # KDDIb
FE4CB;1F529 # Google
E57F;1F52A # KDDIa
F09C;1F52A # KDDIb
FE4FA;1F52A # Google
E113;1F52B # Softbank
E50A;1F52B # KDDIa
EFE3;1F52B # KDDIb
FE4F5;1F52B # Google
EA8F;1F52E # KDDIa
EC62;1F52E # KDDIb
FE4F7;1F52E # Google
E23E;1F52F # Softbank
FE4F8;1F52F # Google
E209;1F530 # Softbank
E480;1F530 # KDDIa
EF58;1F530 # KDDIb
FE044;1F530 # Google
E031;1F531 # Softbank
FE4D2;1F531 # Google
E21A;1F532 # Softbank
 # Google
E21B;1F533 # Softbank
FEB67;1F533 # Google
E219;1F534 # Softbank
E54A;1F534 # KDDIa
F066;1F534 # KDDIb
FEB63;1F534 # Google
E54B;1F535 # KDDIa
F067;1F535 # KDDIb
FEB64;1F535 # Google
E546;1F536 # KDDIa
F062;1F536 # KDDIb
FEB73;1F536 # Google
E547;1F537 # KDDIa
F063;1F537 # KDDIb
FEB74;1F537 # Google
E536;1F538 # KDDIa
F052;1F538 # KDDIb
FEB75;1F538 # Google
E537;1F539 # KDDIa
F053;1F539 # KDDIb
FEB76;1F539 # Google
E55A;1F53A # KDDIa
F076;1F53A # KDDIb
FEB78;1F53A # Google
E55B;1F53B # KDDIa
F077;1F53B # KDDIb
FEB79;1F53B # Google
E543;1F53C # KDDIa
F05F;1F53C # KDDIb
FEB01;1F53C # Google
E542;1F53D # KDDIa
F05E;1F53D # KDDIb
FEB00;1F53D # Google
E024;1F550 # Softbank
FE01E;1F550 # Google
E025;1F551 # Softbank
FE01F;1F551 # Google
E026;1F552 # Softbank
FE020;1F552 # Google
E027;1F553 # Softbank
FE021;1F553 # Google
E028;1F554 # Softbank
FE022;1F554 # Google
E029;1F555 # Softbank
FE023;1F555 # Google
E02A;1F556 # Softbank
FE024;1F556 # Google
E02B;1F557 # Softbank
FE025;1F557 # Google
E02C;1F558 # Softbank
FE026;1F558 # Google
E02D;1F559 # Softbank
FE027;1F559 # Google
E02E;1F55A # Softbank
FE028;1F55A # Google
E02F;1F55B # Softbank
FE029;1F55B # Google
E03B;1F5FB # Softbank
E5BD;1F5FB # KDDIa
F0ED;1F5FB # KDDIb
E740;1F5FB # Docomo
FE4C3;1F5FB # Google
E509;1F5FC # Softbank
E4C0;1F5FC # KDDIa
EF99;1F5FC # KDDIb
FE4C4;1F5FC # Google
E51D;1F5FD # Softbank
FE4C6;1F5FD # Google
E572;1F5FE # KDDIa
F08F;1F5FE # KDDIb
FE4C7;1F5FE # Google
EB6C;1F5FF # KDDIa
ED70;1F5FF # KDDIb
FE4C8;1F5FF # Google
E404;1F601 # Softbank
EB80;1F601 # KDDIa
ED85;1F601 # KDDIb
E753;1F601 # Docomo
FE333;1F601 # Google
E412;1F602 # Softbank
EB64;1F602 # KDDIa
ED68;1F602 # KDDIb
FE334;1F602 # Google
E057;1F603 # Softbank
E471;1F603 # KDDIa
EF49;1F603 # KDDIb
E6F0;1F603 # Docomo
FE330;1F603 # Google
E415;1F604 # Softbank
FE338;1F604 # Google
E722;1F605 # Docomo
FE331;1F605 # Google
E72A;1F606 # Docomo
FE332;1F606 # Google
E405;1F609 # Softbank
E5C3;1F609 # KDDIa
F0F3;1F609 # KDDIb
E729;1F609 # Docomo
FE347;1F609 # Google
E056;1F60A # Softbank
EACD;1F60A # KDDIa
ECA1;1F60A # KDDIb
FE335;1F60A # Google
E752;1F60B # Docomo
FE32B;1F60B # Google
E40A;1F60C # Softbank
EAC5;1F60C # KDDIa
EC99;1F60C # KDDIb
E721;1F60C # Docomo
FE33E;1F60C # Google
E106;1F60D # Softbank
E5C4;1F60D # KDDIa
F0F4;1F60D # KDDIb
E726;1F60D # Docomo
FE327;1F60D # Google
E402;1F60F # Softbank
EABF;1F60F # KDDIa
EC93;1F60F # KDDIb
E72C;1F60F # Docomo
FE343;1F60F # Google
E40E;1F612 # Softbank
EAC9;1F612 # KDDIa
EC9D;1F612 # KDDIb
E725;1F612 # Docomo
FE326;1F612 # Google
E108;1F613 # Softbank
E5C6;1F613 # KDDIa
F0F6;1F613 # KDDIb
E723;1F613 # Docomo
FE344;1F613 # Google
E403;1F614 # Softbank
EAC0;1F614 # KDDIa
EC94;1F614 # KDDIb
E720;1F614 # Docomo
FE340;1F614 # Google
E407;1F616 # Softbank
EAC3;1F616 # KDDIa
EC97;1F616 # KDDIb
E6F3;1F616 # Docomo
FE33F;1F616 # Google
E418;1F618 # Softbank
EACF;1F618 # KDDIa
ECA3;1F618 # KDDIb
FE32C;1F618 # Google
E417;1F61A # Softbank
EACE;1F61A # KDDIa
ECA2;1F61A # KDDIb
FE32D;1F61A # Google
E105;1F61C # Softbank
E4E7;1F61C # KDDIa
EFC0;1F61C # KDDIb
E728;1F61C # Docomo
FE329;1F61C # Google
E409;1F61D # Softbank
FE32A;1F61D # Google
E058;1F61E # Softbank
E6F2;1F61E # Docomo
FE323;1F61E # Google
E059;1F620 # Softbank
E472;1F620 # KDDIa
EF4A;1F620 # KDDIb
E6F1;1F620 # Docomo
FE320;1F620 # Google
E416;1F621 # Softbank
EB5D;1F621 # KDDIa
ED61;1F621 # KDDIb
E724;1F621 # Docomo
FE33D;1F621 # Google
E413;1F622 # Softbank
EB69;1F622 # KDDIa
ED6D;1F622 # KDDIb
E72E;1F622 # Docomo
FE339;1F622 # Google
E406;1F623 # Softbank
EAC2;1F623 # KDDIa
EC96;1F623 # KDDIb
E72B;1F623 # Docomo
FE33C;1F623 # Google
EAC1;1F624 # KDDIa
EC95;1F624 # KDDIb
FE328;1F624 # Google
E401;1F625 # Softbank
FE345;1F625 # Google
E40B;1F628 # Softbank
EAC6;1F628 # KDDIa
EC9A;1F628 # KDDIb
FE33B;1F628 # Google
EB67;1F629 # KDDIa
ED6B;1F629 # KDDIb
FE321;1F629 # Google
E408;1F62A # Softbank
EAC4;1F62A # KDDIa
EC98;1F62A # KDDIb
FE342;1F62A # Google
E474;1F62B # KDDIa
EF4C;1F62B # KDDIb
FE346;1F62B # Google
E411;1F62D # Softbank
E473;1F62D # KDDIa
EF4B;1F62D # KDDIb
E72D;1F62D # Docomo
FE33A;1F62D # Google
E40F;1F630 # Softbank
EACB;1F630 # KDDIa
EC9F;1F630 # KDDIb
FE325;1F630 # Google
E107;1F631 # Softbank
E5C5;1F631 # KDDIa
F0F5;1F631 # KDDIb
E757;1F631 # Docomo
FE341;1F631 # Google
E410;1F632 # Softbank
EACA;1F632 # KDDIa
EC9E;1F632 # KDDIb
FE322;1F632 # Google
E40D;1F633 # Softbank
EAC8;1F633 # KDDIa
EC9C;1F633 # KDDIb
FE32F;1F633 # Google
E5AE;1F635 # KDDIa
F0CB;1F635 # KDDIb
E6F4;1F635 # Docomo
FE324;1F635 # Google
E40C;1F637 # Softbank
EAC7;1F637 # KDDIa
EC9B;1F637 # KDDIb
FE32E;1F637 # Google
EB7F;1F638 # KDDIa
ED84;1F638 # KDDIb
FE349;1F638 # Google
EB63;1F639 # KDDIa
ED67;1F639 # KDDIb
FE34A;1F639 # Google
EB61;1F63A # KDDIa
ED65;1F63A # KDDIb
FE348;1F63A # Google
EB65;1F63B # KDDIa
ED69;1F63B # KDDIb
FE34C;1F63B # Google
EB6A;1F63C # KDDIa
ED6E;1F63C # KDDIb
FE34F;1F63C # Google
EB60;1F63D # KDDIa
ED64;1F63D # KDDIb
FE34B;1F63D # Google
EB5E;1F63E # KDDIa
ED62;1F63E # KDDIb
FE34E;1F63E # Google
EB68;1F63F # KDDIa
ED6C;1F63F # KDDIb
FE34D;1F63F # Google
EB66;1F640 # KDDIa
ED6A;1F640 # KDDIb
FE350;1F640 # Google
E423;1F645 # Softbank
EAD7;1F645 # KDDIa
ECAB;1F645 # KDDIb
FE351;1F645 # Google
E424;1F646 # Softbank
EAD8;1F646 # KDDIa
ECAC;1F646 # KDDIb
FE352;1F646 # Google
E426;1F647 # Softbank
EAD9;1F647 # KDDIa
ECAD;1F647 # KDDIb
FE353;1F647 # Google
EB50;1F648 # KDDIa
ED54;1F648 # KDDIb
FE354;1F648 # Google
EB52;1F649 # KDDIa
ED56;1F649 # KDDIb
FE356;1F649 # Google
EB51;1F64A # KDDIa
ED55;1F64A # KDDIb
FE355;1F64A # Google
EB85;1F64B # KDDIa
ED8A;1F64B # KDDIb
FE357;1F64B # Google
E427;1F64C # Softbank
EB86;1F64C # KDDIa
ED8B;1F64C # KDDIb
FE358;1F64C # Google
EB87;1F64D # KDDIa
ED8C;1F64D # KDDIb
FE359;1F64D # Google
EB88;1F64E # KDDIa
ED8D;1F64E # KDDIb
FE35A;1F64E # Google
E41D;1F64F # Softbank
EAD2;1F64F # KDDIa
ECA6;1F64F # KDDIb
FE35B;1F64F # Google
E10D;1F680 # Softbank
E5C8;1F680 # KDDIa
F0F8;1F680 # KDDIb
FE7ED;1F680 # Google
E01E;1F683 # Softbank
E4B5;1F683 # KDDIa
EF8E;1F683 # KDDIb
E65B;1F683 # Docomo
FE7DF;1F683 # Google
E435;1F684 # Softbank
E65D;1F684 # Docomo
FE7E2;1F684 # Google
E01F;1F685 # Softbank
E4B0;1F685 # KDDIa
EF89;1F685 # KDDIb
FE7E3;1F685 # Google
E434;1F687 # Softbank
E5BC;1F687 # KDDIa
F0EC;1F687 # KDDIb
FE7E0;1F687 # Google
E039;1F689 # Softbank
EB6D;1F689 # KDDIa
ED71;1F689 # KDDIb
FE7EC;1F689 # Google
E159;1F68C # Softbank
E4AF;1F68C # KDDIa
EF88;1F68C # KDDIb
E660;1F68C # Docomo
FE7E6;1F68C # Google
E150;1F68F # Softbank
E4A7;1F68F # KDDIa
EF80;1F68F # KDDIb
FE7E7;1F68F # Google
E431;1F691 # Softbank
EAE0;1F691 # KDDIa
ECB4;1F691 # KDDIb
FE7F3;1F691 # Google
E430;1F692 # Softbank
EADF;1F692 # KDDIa
ECB3;1F692 # KDDIb
FE7F2;1F692 # Google
E432;1F693 # Softbank
EAE1;1F693 # KDDIa
ECB5;1F693 # KDDIb
FE7F4;1F693 # Google
E15A;1F695 # Softbank
FE7EF;1F695 # Google
E01B;1F697 # Softbank
E4B1;1F697 # KDDIa
EF8A;1F697 # KDDIb
E65E;1F697 # Docomo
FE7E4;1F697 # Google
E42E;1F699 # Softbank
E65F;1F699 # Docomo
FE7E5;1F699 # Google
E42F;1F69A # Softbank
E4B2;1F69A # KDDIa
EF8B;1F69A # KDDIb
FE7F1;1F69A # Google
E202;1F6A2 # Softbank
EA82;1F6A2 # KDDIa
EC55;1F6A2 # KDDIb
E661;1F6A2 # Docomo
FE7E8;1F6A2 # Google
E135;1F6A4 # Softbank
FE7EE;1F6A4 # Google
E14E;1F6A5 # Softbank
E46A;1F6A5 # KDDIa
EF42;1F6A5 # KDDIb
E66D;1F6A5 # Docomo
FE7F7;1F6A5 # Google
E137;1F6A7 # Softbank
E5D7;1F6A7 # KDDIa
EC4A;1F6A7 # KDDIb
FE7F8;1F6A7 # Google
EB73;1F6A8 # KDDIa
ED77;1F6A8 # KDDIb
FE7F9;1F6A8 # Google
EB2C;1F6A9 # KDDIa
